dataset,node,epsilon,min_samples,id,precision,recall,fscore
BGP_testbed_3,leaf6,10.0,14,5097,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,14,5098,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,14,5099,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,14,5100,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,14,5101,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,14,5102,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,14,5103,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,10.0,16,5104,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf2,10.0,16,5105,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,16,5106,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,10.0,16,5107,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf6,10.0,16,5108,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,10.0,16,5109,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,16,5110,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine1,10.0,16,5111,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine2,10.0,16,5112,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine3,10.0,16,5113,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,16,5114,1.0,0.43,0.7904411764705883
BGP_testbed_3,leaf1,10.0,16,5115,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf2,10.0,16,5116,1.0,0.25,0.625
BGP_testbed_3,leaf3,10.0,16,5117,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,16,5118,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf6,10.0,16,5119,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,16,5120,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,16,5121,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,16,5122,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,16,5123,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,16,5124,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,16,5125,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,10.0,18,5126,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf2,10.0,18,5127,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,18,5128,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,10.0,18,5129,1.0,0.43,0.7904411764705883
